City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Katsuura,35.1333,140.3,67.21,91,100,19.51,JP,1665610698
Harper,4.375,-7.7169,77.22,82,98,7.16,LR,1665610530
Torbay,47.6666,-52.7314,50.76,76,75,5.75,CA,1665610426
Chokurdakh,70.6333,147.9167,1.04,90,56,5.01,RU,1665610574
Korla,41.7597,86.1469,47.48,50,0,3.29,CN,1665610699
Provideniya,64.3833,-173.3,28.51,74,0,4.47,RU,1665610699
Cape Town,-33.9258,18.4232,64.11,85,75,18.41,ZA,1665610630
Coquimbo,-29.9533,-71.3436,64.13,63,0,14.97,CL,1665610700
Esperance,-33.8667,121.9,53.96,67,98,16.69,AU,1665610700
Mahébourg,-20.4081,57.7,71.89,78,40,9.22,MU,1665610700
Hermanus,-34.4187,19.2345,64.8,91,100,5.28,ZA,1665610701
Gushikawa,26.3544,127.8686,76.23,81,0,6.91,JP,1665610701
Hong Kong,22.2855,114.1577,76.32,62,12,10.0,HK,1665610451
East London,-33.0153,27.9116,68.95,89,100,15.17,ZA,1665610701
Sinnamary,5.3833,-52.95,80.1,83,95,10.25,GF,1665610702
Avarua,-21.2078,-159.775,78.85,83,75,17.27,CK,1665610702
Buluang,13.3068,123.3425,78.62,89,100,0.74,PH,1665610702
Khatanga,71.9667,102.5,29.41,98,100,6.38,RU,1665610703
Bereda,43.2686,-7.5406,60.42,100,99,0.72,ES,1665610704
Zhangaözen,43.3,52.8,54.14,72,6,6.22,KZ,1665610704
Gulmarg,34.049,74.3921,40.64,69,8,1.72,IN,1665610704
Ushuaia,-54.8,-68.3,38.86,81,75,24.16,AR,1665610705
Vaini,-21.2,-175.2,77.16,83,40,4.61,TO,1665610705
Palkino,57.5409,28.0126,31.75,85,38,5.03,RU,1665610706
Ponta Delgada,37.7333,-25.6667,70.52,73,75,2.3,PT,1665610706
Lebu,-37.6167,-73.65,51.57,79,33,15.5,CL,1665610706
Mataura,-46.1927,168.8643,48.74,57,99,2.35,NZ,1665610707
Arrifes,37.7667,-25.7,68.25,73,75,2.3,PT,1665610707
Vogar,63.9832,-22.3874,39.76,100,75,9.22,IS,1665610707
Bambous Virieux,-20.3428,57.7575,71.85,78,40,9.22,MU,1665610708
Dikson,73.5069,80.5464,29.46,72,100,4.0,RU,1665610708
Luganville,-15.5333,167.1667,82.47,71,9,1.86,VU,1665610708
Tasiilaq,65.6145,-37.6368,30.36,93,100,2.08,GL,1665610709
Yellowknife,62.456,-114.3525,37.92,44,20,19.57,CA,1665610709
Qaanaaq,77.484,-69.3632,7.03,62,8,7.83,GL,1665610709
Rikitea,-23.1203,-134.9692,68.38,64,0,15.64,PF,1665610500
Saint George,37.1041,-113.5841,87.44,15,0,3.0,US,1665610710
Mazagão,-0.115,-51.2894,86.05,72,48,8.39,BR,1665610710
Ponta do Sol,32.6667,-17.1,72.72,73,43,4.99,PT,1665610710
Bengkulu,-3.8004,102.2655,73.98,92,100,2.26,ID,1665610711
Meulaboh,4.1363,96.1285,76.1,88,53,2.93,ID,1665610711
Bluff,-46.6,168.3333,48.49,61,99,3.49,NZ,1665610712
Tuktoyaktuk,69.4541,-133.0374,32.0,74,40,12.66,CA,1665610712
Port Alfred,-33.5906,26.891,68.18,92,100,1.01,ZA,1665610496
Ostrovnoy,68.0531,39.5131,41.14,83,100,14.2,RU,1665610712
Puerto Ayora,-0.7393,-90.3518,71.56,88,86,5.99,EC,1665610713
Kushima,31.4583,131.2333,68.05,76,79,12.39,JP,1665610713
Kargil,34.5667,76.1,38.39,61,12,5.68,IN,1665610713
Beringovskiy,63.05,179.3167,31.59,62,72,5.35,RU,1665610714
Tiksi,71.6872,128.8694,19.63,87,100,8.59,RU,1665610714
Punta Arenas,-53.15,-70.9167,41.11,65,40,34.52,CL,1665610714
Tornio,65.8481,24.1466,32.02,79,83,10.04,FI,1665610715
Mastic Beach,40.7668,-72.8521,65.1,78,0,10.36,US,1665610715
Gusau,12.1628,6.6614,80.76,42,80,7.36,NG,1665610715
Nyurba,63.2842,118.3319,34.2,99,100,5.23,RU,1665610716
Taoudenni,22.6783,-3.9836,93.54,18,94,7.78,ML,1665610499
Rafai,4.95,23.9167,69.26,95,98,2.91,CF,1665610716
Maïné Soroa,13.2114,12.0241,87.22,27,23,6.44,NE,1665610716
Pevek,69.7008,170.3133,18.01,85,74,10.83,RU,1665610717
Busselton,-33.65,115.3333,45.82,80,18,2.8,AU,1665610717
Port-Cartier,50.0334,-66.8654,46.62,79,37,3.15,CA,1665610718
Port Elizabeth,-33.918,25.5701,66.49,94,40,6.91,ZA,1665610718
Cabo San Lucas,22.8909,-109.9124,92.61,54,0,6.91,MX,1665610464
Bethel,41.3712,-73.414,65.35,60,83,7.87,US,1665610709
Kahului,20.8947,-156.47,89.62,67,20,18.41,US,1665610718
Port Hardy,50.6996,-127.4199,51.98,87,20,3.44,CA,1665610719
Aksay,47.26,39.87,43.02,48,8,3.62,RU,1665610719
Nikolskoye,59.7035,30.7861,39.09,88,35,3.47,RU,1665610426
Kindu,-2.95,25.95,68.4,95,94,1.61,CD,1665610719
Mossamedes,-15.1961,12.1522,68.58,88,51,3.78,AO,1665610720
Byron Bay,-28.65,153.6167,60.94,77,51,7.14,AU,1665610720
Hambantota,6.1241,81.1185,77.34,94,40,0.0,LK,1665610721
Palana,59.1167,159.9667,33.15,75,96,9.98,RU,1665610721
Olinda,-8.0089,-34.8553,78.53,73,40,14.97,BR,1665610721
Thinadhoo,0.5333,72.9333,80.78,78,99,15.26,MV,1665610722
Nizwá,22.9333,57.5333,73.74,38,4,2.04,OM,1665610722
Albany,42.6001,-73.9662,65.68,53,100,3.0,US,1665610427
Bredasdorp,-34.5322,20.0403,59.31,97,100,2.21,ZA,1665610723
Bone,51.9669,12.1396,49.24,76,45,5.93,DE,1665610723
Liverpool,53.4106,-2.9779,54.14,91,40,4.61,GB,1665610723
Viedma,-40.8135,-62.9967,51.75,52,95,18.9,AR,1665610724
Nome,64.5011,-165.4064,33.87,76,100,8.05,US,1665610724
Hobart,-42.8794,147.3294,61.05,81,100,19.57,AU,1665610710
San Cristobal,7.7669,-72.225,78.98,62,84,3.02,VE,1665610725
Barzas,55.7167,86.3167,35.22,90,62,4.21,RU,1665610725
Narsaq,60.9167,-46.05,30.42,70,5,7.25,GL,1665610725
San Rafael,-34.6177,-68.3301,77.52,15,34,8.28,AR,1665610726
Aksu,41.1231,80.2644,49.87,37,0,4.5,CN,1665610726
Iqaluit,63.7506,-68.5145,26.33,80,75,13.8,CA,1665610726
Safi,32.2994,-9.2372,69.15,84,1,17.16,MA,1665610727
George Town,5.4112,100.3354,80.89,91,20,5.01,MY,1665610491
Butaritari,3.0707,172.7902,82.02,76,58,22.41,KI,1665610490
Port Blair,11.6667,92.75,75.24,94,40,2.3,IN,1665610727
Karasjok,69.4719,25.5112,34.09,84,31,7.72,NO,1665610728
Ribeira Grande,38.5167,-28.7,72.77,81,7,5.99,PT,1665610728
Lodja,-3.4833,23.4333,68.9,98,54,0.6,CD,1665610728
Bubaque,11.2833,-15.8333,82.22,77,100,14.65,GW,1665610729
Zhezkazgan,47.8043,67.7144,50.61,24,100,8.39,KZ,1665610729
Norman Wells,65.282,-126.8329,30.24,74,75,2.3,CA,1665610632
Faya,18.3851,42.4509,62.71,23,29,5.59,SA,1665610729
Lagoa,39.05,-27.9833,70.61,84,3,9.15,PT,1665610730
Atuona,-9.8,-139.0333,77.2,78,63,20.38,PF,1665610730
Lubango,-14.9172,13.4925,62.4,72,11,2.73,AO,1665610502
New Norfolk,-42.7826,147.0587,60.71,71,100,4.0,AU,1665610730
Winneba,5.3511,-0.6231,76.57,90,45,7.38,GH,1665610731
Coyhaique,-45.5752,-72.0662,47.01,49,75,8.05,CL,1665610731
Kieta,-6.2167,155.6333,82.2,75,87,2.98,PG,1665610731
Gashua,12.871,11.0482,86.79,28,21,7.29,NG,1665610732
Codrington,-38.2667,141.9667,51.66,95,100,6.13,AU,1665610732
Warmbad,-28.45,18.7333,82.22,26,100,9.98,NA,1665610733
Leningradskiy,69.3833,178.4167,17.02,76,47,7.81,RU,1665610733
Manzanillo,20.3433,-77.1167,79.38,82,97,3.8,CU,1665610566
Longyearbyen,78.2186,15.6401,33.64,80,75,3.44,SJ,1665610733
Kavieng,-2.5744,150.7967,82.6,73,100,7.43,PG,1665610734
Sept-Îles,50.2001,-66.3821,46.92,81,40,5.75,CA,1665610615
Balkanabat,39.5108,54.3671,67.08,54,20,2.04,TM,1665610734
Cehegín,38.0924,-1.7985,62.82,82,57,0.13,ES,1665610734
Sitka,57.0531,-135.33,57.09,82,100,11.5,US,1665610681
Hilo,19.7297,-155.09,92.28,67,20,8.05,US,1665610735
Broome,42.2506,-75.833,65.59,61,0,8.01,US,1665610735
Tautira,-17.7333,-149.15,76.57,81,49,14.56,PF,1665610736
Carnarvon,-24.8667,113.6333,59.04,46,0,18.23,AU,1665610736
Mar del Plata,-38.0023,-57.5575,60.82,64,0,8.05,AR,1665610573
Zaterechnyy,44.7931,45.2097,52.07,67,25,5.7,RU,1665610736
Dostpur,26.2833,82.4667,74.7,79,26,5.3,IN,1665610737
Huarmey,-10.0681,-78.1522,65.17,77,2,12.01,PE,1665610737
Muravlenko,63.7898,74.523,33.01,91,13,7.67,RU,1665610737
Hithadhoo,-0.6,73.0833,79.05,81,95,13.73,MV,1665610738
Belaya Gora,68.5333,146.4167,7.7,87,80,2.75,RU,1665610738
São João da Barra,-21.6403,-41.0511,77.09,84,22,17.49,BR,1665610738
Hay River,60.8156,-115.7999,37.38,44,75,14.97,CA,1665610738
Jamestown,42.097,-79.2353,69.39,50,40,12.66,US,1665610739
Novy Urengoy,66.0833,76.6333,35.98,71,96,4.41,RU,1665610739
Diu,20.7141,70.9822,80.06,72,100,5.44,IN,1665610740
Kumluca,36.3703,30.2869,70.86,68,6,4.29,TR,1665610740
Chui,-33.6971,-53.4616,59.67,67,0,6.22,UY,1665610495
Parfen'yevo,58.484,43.4088,38.23,89,100,4.68,RU,1665610740
Yulara,-25.2406,130.9889,49.84,93,75,13.8,AU,1665610741
Mehamn,71.0357,27.8492,42.75,75,75,19.57,NO,1665610741
Erzincan Province,39.75,39.5,45.7,87,40,1.14,TR,1665610741
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,72.45,29,0,3.24,AR,1665610742
Vila Velha,-20.3297,-40.2925,78.75,73,0,17.27,BR,1665610742
Kavaratti,10.5669,72.642,80.91,77,72,9.08,IN,1665610743
Bakchar,57.0186,82.0711,37.71,81,100,6.78,RU,1665610743
Caravelas,-17.7125,-39.2481,74.68,76,10,6.73,BR,1665610743
Ballina,-28.8667,153.5667,61.02,99,43,7.09,AU,1665610744
Evensk,61.95,159.2333,24.6,58,68,12.86,RU,1665610745
Arraial do Cabo,-22.9661,-42.0278,73.26,88,75,9.22,BR,1665610718
Kiryat Gat,31.61,34.7642,72.39,100,6,4.29,IL,1665610745
Fernley,39.608,-119.2518,82.31,14,0,1.01,US,1665610460
Mnogovershinnyy,53.9353,139.9242,30.31,85,74,7.27,RU,1665610745
Vokhtoga,58.8147,41.0461,42.57,81,99,4.5,RU,1665610746
Xichang,27.8964,102.2634,57.88,90,100,2.26,CN,1665610746
Kharp,66.8014,65.8081,34.72,90,68,2.84,RU,1665610746
Saint-Philippe,-21.3585,55.7679,67.59,76,35,10.83,RE,1665610747
Kapaa,22.0752,-159.319,84.18,83,0,6.91,US,1665610747
São Filipe,14.8961,-24.4956,79.56,81,25,5.41,CV,1665610747
Vao,-22.6667,167.4833,71.08,71,24,18.45,NC,1665610648
Pangody,65.85,74.4859,35.8,88,95,5.75,RU,1665610748
Kendari,-3.945,122.4989,73.94,92,68,4.05,ID,1665610748
Castro,-24.7911,-50.0119,61.09,97,95,3.83,BR,1665610749
Bahía de Caráquez,-0.6,-80.4167,75.38,77,80,13.02,EC,1665610749
Merauke,-8.4667,140.3333,79.09,86,73,10.85,ID,1665610749
Haines Junction,60.7522,-137.5108,33.75,86,100,1.14,CA,1665610750
Alta Floresta,-9.8756,-56.0861,71.51,96,90,3.6,BR,1665610750
Kawalu,-7.3817,108.2082,71.19,98,90,1.34,ID,1665610750
Mount Isa,-20.7333,139.5,74.97,69,0,0.0,AU,1665610751
Paamiut,61.994,-49.6678,26.6,52,11,11.68,GL,1665610751
Barra do Corda,-5.5,-45.25,87.87,24,6,3.15,BR,1665610752
Souillac,-20.5167,57.5167,71.98,78,40,9.22,MU,1665610752
Tuatapere,-46.1333,167.6833,48.42,63,99,2.19,NZ,1665610753
Cidreira,-30.1811,-50.2056,61.75,87,90,7.47,BR,1665610753
Wangaratta,-36.3667,146.3333,58.46,83,100,12.93,AU,1665610754
Klaksvík,62.2266,-6.589,47.32,74,81,17.18,FO,1665610754
Santo Antônio do Sudoeste,-26.0736,-53.7253,60.17,91,100,0.54,BR,1665610754
Katangli,51.7102,143.2326,36.64,84,59,11.77,RU,1665610755
Aksarka,66.5606,67.7975,38.57,81,100,8.55,RU,1665610755
Kungurtug,50.5994,97.5228,32.65,59,97,2.51,RU,1665610756
Samarai,-10.6167,150.6667,81.59,77,95,7.23,PG,1665610756
Muros,42.7762,-9.0603,60.84,87,83,4.81,ES,1665610756
Martapura,-3.4167,114.85,77.09,100,100,3.44,ID,1665610757
Rio Claro,-22.4114,-47.5614,74.12,65,98,4.14,BR,1665610758
Christchurch,-43.5333,172.6333,53.94,75,100,1.14,NZ,1665610518
Banda Aceh,5.5577,95.3222,78.19,81,96,9.26,ID,1665610743
Esim,4.8699,-2.2405,76.69,87,26,6.85,GH,1665610758
Wahlstedt,53.95,10.2167,47.95,90,28,6.08,DE,1665610759
Auki,-8.7676,160.7034,82.65,71,100,1.7,SB,1665610759
Shingū,33.7333,135.9833,67.48,79,99,12.33,JP,1665610660
Whitehorse,60.7161,-135.0538,39.09,84,75,2.3,CA,1665610668
Yangi Marg`ilon,40.4272,71.7189,56.12,41,0,9.22,UZ,1665610760
Cherskiy,68.75,161.3,8.33,89,100,5.93,RU,1665610760
Muroto-misakicho,33.2833,134.15,69.98,70,49,13.96,JP,1665610761
Tegul'det,57.3064,88.1667,35.73,92,88,5.61,RU,1665610761
Upernavik,72.7868,-56.1549,13.46,79,2,6.67,GL,1665610761
Pasni,25.2631,63.471,78.57,61,0,8.99,PK,1665610762
Ust-Maya,60.4167,134.5333,23.92,89,100,3.91,RU,1665610762
Makat,47.6469,53.3463,52.99,69,20,10.8,KZ,1665610762
Cesenatico,44.1999,12.3991,63.14,90,0,4.61,IT,1665610763
Atar,20.5169,-13.0499,89.92,29,81,12.68,MR,1665610567
San Patricio,28.017,-97.5169,95.72,59,83,12.62,US,1665610763
Praia da Vitória,38.7333,-27.0667,71.85,88,20,7.29,PT,1665610764
Kalengwa,-13.4659,25.0027,67.21,34,72,3.8,ZM,1665610764
Mount Gambier,-37.8333,140.7667,53.51,94,100,8.05,AU,1665610764
Guiren,33.6697,118.1889,52.47,85,14,6.67,CN,1665610765
Kudahuvadhoo,2.6708,72.8944,79.81,80,100,19.08,MV,1665610765
Abhā,18.2164,42.5053,62.42,19,0,5.75,SA,1665610765
Agüimes,27.9054,-15.4461,70.43,73,75,18.41,ES,1665610513
Athabasca,54.7169,-113.2854,52.21,36,9,16.06,CA,1665610766
Kalmunai,7.4167,81.8167,78.26,86,62,6.76,LK,1665610766
Santa Marta,11.2408,-74.199,87.85,63,40,11.5,CO,1665610766
Ugoofaaru,5.6667,73.0,80.6,80,100,19.28,MV,1665610767
Seddon,-37.8068,144.8916,61.86,92,75,16.11,AU,1665610767
Nanortalik,60.1432,-45.2371,29.48,65,13,14.99,GL,1665610768
Mahon,39.8885,4.2658,66.76,88,20,8.05,ES,1665610768
Los Llanos de Aridane,28.6585,-17.9182,69.55,83,75,14.97,ES,1665610768
Yeppoon,-23.1333,150.7333,65.98,75,92,15.64,AU,1665610768
Constitución,-35.3333,-72.4167,56.37,69,33,18.97,CL,1665610769
Pangnirtung,66.1451,-65.7125,19.4,73,20,4.61,CA,1665610769
Jūybār,36.6412,52.9124,69.48,83,100,2.82,IR,1665610770
Rawson,-43.3002,-65.1023,53.02,28,58,23.85,AR,1665610770
Chapais,49.7834,-74.8492,55.18,82,99,13.78,CA,1665610770
Penha,-26.7694,-48.6458,71.47,83,40,8.05,BR,1665610771
Grindsted,55.754,8.9123,49.66,93,75,3.44,DK,1665610505
The Pas,53.8251,-101.2541,39.22,65,100,26.46,CA,1665610771
Hervey Bay,-25.2986,152.8535,64.02,93,12,11.01,AU,1665610724
Nantucket,41.2835,-70.0995,64.54,85,0,8.05,US,1665610772
Husavik,66.0449,-17.3389,39.78,75,100,7.83,IS,1665610772
Udala,43.0778,-2.5125,56.62,96,52,2.04,ES,1665610772
Druzhba,52.0428,33.9453,45.19,75,78,5.79,UA,1665610773
Aleksandrovskoye,44.7142,43.0008,50.2,65,74,3.18,RU,1665610773
Lüderitz,-26.6481,15.1594,66.65,67,96,7.18,NA,1665610773
Adré,13.4667,22.2,79.72,34,18,6.73,TD,1665610774
Micomeseng,2.1462,10.6164,69.12,100,100,2.39,GQ,1665610774
Dunedin,-45.8742,170.5036,49.8,63,66,7.0,NZ,1665610774
Bilma,18.6853,12.9164,84.52,16,0,5.97,NE,1665610568
Makkah al Mukarramah,21.4267,39.8261,81.03,60,2,1.81,SA,1665610693
Samaná,19.2056,-69.3369,86.22,74,40,4.61,DO,1665610775
Cariati,39.4922,16.9594,66.45,80,67,4.23,IT,1665610775
Beyneu,45.3167,55.2,54.39,75,3,8.75,KZ,1665610776
Skegness,53.1436,0.3363,56.34,87,100,12.37,GB,1665610776
Oxapampa,-10.5775,-75.4017,64.27,93,89,1.23,PE,1665610776
Yabrūd,33.9674,36.6574,57.99,45,14,2.01,SY,1665610776
Anadyr,64.75,177.4833,18.1,93,0,6.71,RU,1665610777
Linjiang,41.8069,126.9078,45.05,86,100,2.04,CN,1665610777
Miajadas,39.1513,-5.9084,67.1,45,1,3.38,ES,1665610777
Lavrentiya,65.5833,-171.0,27.21,54,20,4.12,RU,1665610778
Padang,-0.9492,100.3543,75.25,85,98,2.46,ID,1665610778
Airai,-8.9266,125.4092,60.94,83,76,1.45,TL,1665610646
Kutulik,53.3508,102.7839,35.65,91,100,4.88,RU,1665610779
Miraflores,19.2167,-98.8083,75.87,62,100,3.29,MX,1665610779
Bako,5.7833,36.5667,66.72,62,81,4.63,ET,1665610779
Kuldīga,56.974,21.9572,33.49,95,91,4.34,LV,1665610780
Moose Factory,51.2585,-80.6094,62.6,72,100,18.41,CA,1665610780
Olafsvik,64.8945,-23.7142,39.31,93,89,6.15,IS,1665610780
Skjervøy,70.0311,20.9714,39.2,89,95,12.73,NO,1665610781
Keetmanshoop,-26.5833,18.1333,79.07,25,99,3.31,NA,1665610781
Xam Nua,20.4197,104.0439,57.72,97,71,1.77,LA,1665610781
Pacific Grove,36.6177,-121.9166,73.38,83,0,9.22,US,1665610782
Arlit,18.7369,7.3853,88.84,12,0,8.03,NE,1665610782
Leh,34.1667,77.5833,40.87,48,80,4.27,IN,1665610783
Dingle,10.9995,122.6711,75.87,92,100,4.36,PH,1665610783
Yangambi,0.8102,24.4336,69.57,99,78,2.33,CD,1665610783
Wajir,1.7471,40.0573,76.75,58,56,16.98,KE,1665610784
Deputatsky,69.3,139.9,-3.57,87,3,5.01,RU,1665610784
