City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Waitati,-45.75,170.5667,49.8,63,41,6.29,NZ,1665610784
Divo,5.8397,-5.36,70.3,97,85,2.68,CI,1665610785
Hella,67.2,14.4333,43.05,88,100,18.41,NO,1665610785
Xinyang,32.1228,114.0656,51.57,80,11,4.92,CN,1665610785
Lappeenranta,61.0587,28.1887,33.85,93,0,4.61,FI,1665610786
Luwingu,-10.2621,29.9271,69.42,24,0,9.15,ZM,1665610786
Arman',59.7,150.1667,26.02,82,100,3.33,RU,1665610786
Tual,-5.6667,132.75,83.59,73,76,12.46,ID,1665610787
Touros,-5.1989,-35.4608,77.94,80,62,17.92,BR,1665610550
Kruisfontein,-34.0033,24.7314,63.88,97,100,0.56,ZA,1665610787
Marquette,46.5333,-87.6335,50.77,90,98,8.99,US,1665610788
Naryshkino,52.9678,35.7268,42.42,85,45,7.65,RU,1665610788
Barrow,71.2906,-156.7887,30.22,80,40,17.27,US,1665610788
Ola,59.5833,151.2833,26.15,93,100,7.0,RU,1665610789
Marsá Maţrūḩ,31.3525,27.2453,70.0,68,20,4.61,EG,1665610789
Kaitangata,-46.2817,169.8464,49.86,58,94,5.79,NZ,1665610789
Yakeshi,49.2833,120.7333,31.15,74,0,4.97,CN,1665610790
Saint-Leu,-21.15,55.2833,72.95,100,25,3.24,RE,1665610790
Melchor de Mencos,17.0686,-89.1522,91.4,62,40,0.0,GT,1665610790
Buala,-8.145,159.5921,83.12,71,93,5.28,SB,1665610791
Den Helder,52.9599,4.7593,53.58,87,100,6.91,NL,1665610791
Graham,47.0529,-122.2943,71.94,50,0,6.91,US,1665610773
Timrå,62.487,17.3257,43.68,93,20,3.44,SE,1665610791
Severo-Kuril'sk,50.6789,156.125,43.72,83,100,38.34,RU,1665610741
Puertollano,38.6871,-4.1073,63.16,56,0,4.27,ES,1665610792
Saint-François,46.4154,3.9054,51.67,100,20,3.44,FR,1665610792
Aklavik,68.2191,-135.0107,27.84,72,31,1.23,CA,1665610792
Eureka,40.8021,-124.1637,68.2,79,29,4.0,US,1665610793
Le Port,-20.9373,55.2919,73.89,83,28,4.68,RE,1665610793
Grindavik,63.8424,-22.4338,39.67,100,75,9.22,IS,1665610793
Vangaindrano,-23.35,47.6,68.13,88,47,5.14,MG,1665610794
Xining,36.6167,101.7667,38.88,68,100,3.42,CN,1665610578
Faanui,-16.4833,-151.75,78.44,76,14,13.87,PF,1665610794
Saqqez,36.2499,46.2735,53.56,34,9,2.42,IR,1665610795
Prigrevica,45.6786,19.0867,53.56,74,89,6.26,RS,1665610795
Carballo,43.213,-8.691,64.9,91,99,1.14,ES,1665610795
Alofi,-19.0595,-169.9187,78.69,21,75,8.05,NU,1665610796
Żurrieq,35.8311,14.4742,72.97,88,40,4.61,MT,1665610796
Gamba,-2.65,10.0,76.62,91,92,6.02,GA,1665610796
Talnakh,69.4865,88.3972,31.21,93,50,8.39,RU,1665610797
Morgan City,29.6994,-91.2068,84.9,55,8,9.24,US,1665610797
San Policarpo,12.1791,125.5072,77.83,88,100,4.63,PH,1665610798
Lewiston,44.1003,-70.2148,65.64,76,0,6.91,US,1665610537
Brae,60.3964,-1.353,48.07,70,33,12.62,GB,1665610798
Ghātanji,20.1333,78.3167,74.52,91,99,3.29,IN,1665610798
Bosaso,11.2842,49.1816,80.01,59,0,4.92,SO,1665610799
Fortuna,40.5982,-124.1573,67.93,74,0,11.5,US,1665610546
Puerto Baquerizo Moreno,-0.9,-89.6,72.59,73,40,13.8,EC,1665610800
Trairi,-3.2778,-39.2689,79.16,78,55,11.97,BR,1665610579
Bayir,37.2687,28.2167,55.92,76,35,4.52,TR,1665610800
Qian’an,44.9932,124.0581,47.55,90,100,8.55,CN,1665610800
Carora,10.1755,-70.0827,82.89,61,99,3.8,VE,1665610801
Kjøllefjord,70.9457,27.3465,42.62,75,75,19.57,NO,1665610801
Gornopravdinsk,60.05,69.9,35.06,92,4,4.41,RU,1665610801
Saldanha,-33.0117,17.9442,59.05,89,47,15.39,ZA,1665610802
Necochea,-38.5473,-58.7368,54.05,66,57,1.83,AR,1665610803
Qala,40.4418,50.1681,60.69,82,0,6.91,AZ,1665610803
Hasaki,35.7333,140.8333,68.22,85,100,16.35,JP,1665610804
Okhotsk,59.3833,143.3,28.87,64,0,11.63,RU,1665610805
Bucerías,20.75,-105.3333,88.99,66,100,9.22,MX,1665610805
Raudeberg,61.9875,5.1352,53.96,25,100,20.65,NO,1665610806
Basco,20.4487,121.9702,81.21,79,93,27.29,PH,1665610806
Wamba,8.9333,8.6,73.4,86,39,2.64,NG,1665610807
Whittlesea,-32.1759,26.8244,68.5,52,98,0.58,ZA,1665610807
Ugra,54.7777,34.3267,43.83,76,100,4.5,RU,1665610808
Salmās,38.1973,44.7653,54.64,49,100,2.53,IR,1665610808
Kopychyntsi,49.1044,25.9103,48.96,66,99,3.96,UA,1665610808
Ampanihy,-24.7,44.75,68.76,89,0,5.41,MG,1665610809
Majene,-3.5403,118.9707,76.66,89,95,3.42,ID,1665610809
Vestmannaeyjar,63.4427,-20.2734,45.66,80,97,18.12,IS,1665610810
Lima,-12.0432,-77.0282,66.9,70,100,13.8,PE,1665610565
Itamarandiba,-17.8572,-42.8589,69.8,52,5,5.08,BR,1665610810
Guerrero Negro,27.9769,-114.0611,73.78,68,24,15.39,MX,1665610810
Plettenberg Bay,-34.0527,23.3716,63.05,95,90,1.97,ZA,1665610811
Aasiaat,68.7098,-52.8699,22.1,88,49,2.8,GL,1665610811
Eyrarbakki,63.863,-21.1481,39.25,90,93,13.27,IS,1665610812
Ifanadiana,-21.3,47.6333,60.03,96,39,1.48,MG,1665610812
Bongandanga,1.5,21.05,72.25,83,100,1.05,CD,1665610812
Mackay,-21.15,149.2,73.69,65,90,14.27,AU,1665610813
Bilibino,68.0546,166.4372,0.09,95,97,2.89,RU,1665610813
Rørvik,64.8621,11.2373,48.31,87,75,12.66,NO,1665610813
Dumas,35.8656,-101.9732,73.62,24,0,5.75,US,1665610814
Tura,25.5198,90.2201,70.3,98,100,2.44,IN,1665610814
Tilichiki,60.4667,166.1,26.19,56,100,13.42,RU,1665610814
Flinders,-34.5833,150.8552,63.05,84,85,7.0,AU,1665610815
Mujiayingzi,42.1167,118.7833,49.93,44,100,7.2,CN,1665610815
Ilulissat,69.2167,-51.1,28.42,74,75,0.0,GL,1665610816
Al Bardīyah,31.7561,25.0865,71.71,75,0,7.11,LY,1665610816
Bandarbeyla,9.4942,50.8122,77.76,83,12,7.72,SO,1665610817
Boa Vista,2.8197,-60.6733,89.58,48,20,6.91,BR,1665610818
Katherine,-14.4667,132.2667,80.92,65,17,6.91,AU,1665610818
Denpasar,-8.65,115.2167,80.26,88,20,4.61,ID,1665610727
Macaé,-22.3708,-41.7869,74.95,88,0,9.22,BR,1665610819
Okhansk,57.7186,55.3877,50.07,64,100,4.07,RU,1665610819
Andenes,69.3143,16.1194,41.94,81,75,9.22,NO,1665610820
Ancud,-41.8697,-73.8203,46.8,55,50,14.16,CL,1665610820
Santa Rosa,14.3122,121.1114,82.09,89,100,5.5,PH,1665610820
Vanimo,-2.6741,141.3028,76.17,93,100,5.44,PG,1665610821
Bhakkar,31.6253,71.0657,75.33,38,0,4.97,PK,1665610821
Ketchikan,55.3422,-131.6461,57.67,72,75,8.05,US,1665610821
Statesboro,32.4488,-81.7832,76.8,78,100,6.91,US,1665610822
Lompoc,34.6391,-120.4579,81.01,80,0,12.66,US,1665610822
Clyde River,70.4692,-68.5914,21.43,79,75,13.8,CA,1665610823
Biak,-0.9131,122.8766,75.18,85,76,3.49,ID,1665610823
Oranjemund,-28.55,16.4333,57.63,94,72,6.31,NA,1665610823
Araranguá,-28.9347,-49.4858,62.82,93,100,2.55,BR,1665610824
Lapua,62.9693,23.0088,36.1,94,85,5.44,FI,1665610824
Kalemie,-5.9475,29.1947,72.86,44,20,1.72,CD,1665610825
Oddur,4.1213,43.8894,71.37,79,63,16.33,SO,1665610826
Gewanē,10.1664,40.6453,85.69,35,26,6.44,ET,1665610826
Ndélé,8.4109,20.6473,71.17,91,54,2.53,CF,1665610826
Abu Samrah,35.3029,37.1841,70.5,55,98,5.91,SY,1665610827
Adrar,20.5022,-10.0711,88.99,27,90,16.37,MR,1665610827
Celestún,20.8667,-90.4,82.62,77,99,8.57,MX,1665610827
Madisonville,37.3281,-87.4989,80.94,37,77,15.52,US,1665610316
Naze,28.3667,129.4833,74.32,78,83,21.88,JP,1665610828
Key West,24.5557,-81.7826,89.6,80,0,10.36,US,1665610742
Sisimiut,66.9395,-53.6735,26.13,82,94,12.33,GL,1665610828
Torres,-29.3353,-49.7269,68.83,89,97,4.63,BR,1665610590
Āmli,20.2833,73.0167,76.5,82,100,3.22,IN,1665610829
Kanchanaburi,14.6333,99.1,72.21,93,7,2.24,TH,1665610829
Thompson,55.7435,-97.8558,37.56,93,100,18.41,CA,1665610825
Zhigansk,66.7697,123.3711,25.81,94,99,14.99,RU,1665610829
Along,28.1667,94.7667,69.78,99,100,0.36,IN,1665610830
Yarim,14.298,44.3779,55.31,42,2,3.29,YE,1665610830
Batagay-Alyta,67.8006,130.4114,0.39,84,89,3.29,RU,1665610830
Arrondissement de Laon,49.5667,3.6667,51.39,78,93,5.48,FR,1665610831
Piraí do Sul,-24.5261,-49.9486,60.94,99,96,2.95,BR,1665610831
Vila Franca do Campo,37.7167,-25.4333,70.21,81,59,3.09,PT,1665610832
Sechura,-5.5569,-80.8222,71.6,61,11,19.3,PE,1665610832
Prince Rupert,54.3161,-130.3201,55.49,87,75,3.44,CA,1665610566
Chukhloma,58.7525,42.6825,37.56,97,99,4.36,RU,1665610833
Sundarnagar,31.5333,76.8833,60.57,80,3,4.83,IN,1665610833
Soure,-0.7167,-48.5233,79.34,81,85,12.01,BR,1665610833
Havre-St-Pierre,50.2334,-63.5986,44.96,87,0,8.05,CA,1665610834
Geraldton,-28.7667,114.6,41.41,93,0,0.0,AU,1665610834
Lakes Entrance,-37.8811,147.981,62.17,76,100,8.05,AU,1665610834
Xishan,27.6667,113.5,52.29,58,8,1.95,CN,1665610835
Qandala,11.472,49.8728,82.31,40,0,1.3,SO,1665610835
Safford,32.834,-109.7076,85.12,18,0,3.44,US,1665610835
Labuhan,-6.8844,112.2051,77.54,83,64,13.0,ID,1665610836
Zhuhai,22.2769,113.5678,74.98,60,0,14.97,CN,1665610777
Giyani,-23.3025,30.7187,78.49,30,7,3.24,ZA,1665610836
Angoram,-4.0625,144.0661,74.35,97,100,2.48,PG,1665610837
Vikhorevka,56.1201,101.1636,35.19,95,100,4.23,RU,1665610837
Malbork,54.0359,19.0266,47.84,69,97,6.73,PL,1665610720
Fairbanks,64.8378,-147.7164,29.61,86,100,6.91,US,1665610837
Beni Suef,29.0731,31.0979,71.83,63,90,11.25,EG,1665610838
Stephenville,32.2207,-98.2023,93.76,29,0,14.97,US,1665610838
Fort Nelson,58.8053,-122.7002,44.19,45,75,5.75,CA,1665610838
Kultuk,51.7208,103.6956,40.82,61,83,5.68,RU,1665610839
Saint-Pierre,-21.3393,55.4781,73.56,64,0,2.3,RE,1665610839
Saint-Joseph,-21.3667,55.6167,72.46,74,18,10.71,RE,1665610839
Manyana,-23.4,21.7167,73.18,19,97,9.28,BW,1665610840
Calvinia,-31.4707,19.776,70.66,29,99,1.88,ZA,1665610557
Riyadh,24.6877,46.7219,78.94,19,0,4.25,SA,1665610840
Kirovsk,48.6375,38.6428,45.59,63,9,4.16,UA,1665610840
Port Macquarie,-31.4333,152.9167,64.89,67,98,2.8,AU,1665610841
Guymon,36.6828,-101.4816,75.2,19,0,4.61,US,1665610841
General Roca,-39.0333,-67.5833,67.62,22,14,32.1,AR,1665610841
Ust'-Kut,56.7938,105.7672,35.92,99,100,2.28,RU,1665610842
Comodoro Rivadavia,-45.8667,-67.5,51.66,22,40,20.71,AR,1665610842
Cayenne,4.9333,-52.3333,77.04,88,20,1.14,GF,1665610842
Fare,-16.7,-151.0167,78.17,77,3,14.58,PF,1665610843
Isangel,-19.55,169.2667,68.11,100,100,2.3,VU,1665610843
Iracoubo,5.4802,-53.2011,79.45,83,99,9.84,GF,1665610843
Conde,-7.2597,-34.9075,78.26,73,0,11.5,BR,1665610844
Koulikoro,14.0,-7.75,82.33,50,82,8.39,ML,1665610844
Ngaoundéré,7.3167,13.5833,65.28,95,99,2.19,CM,1665610844
Lubbock,33.6001,-101.8338,79.05,28,0,4.61,US,1665610781
San Luis,-33.295,-66.3356,75.34,15,7,10.31,AR,1665610792
Tumut,-35.3,148.2167,58.75,89,99,5.66,AU,1665610845
Ust'-Ilimsk,58.0006,102.6619,33.21,91,97,4.61,RU,1665610845
Salalah,17.0151,54.0924,78.89,73,75,2.3,OM,1665610770
Henties Bay,-22.116,14.2845,58.71,91,81,10.02,NA,1665610846
Kempsey,-31.0833,152.8333,64.94,78,95,3.0,AU,1665610846
Aykhal,66.0,111.5,26.44,98,100,4.38,RU,1665610846
Erzin,36.9559,36.2,69.8,68,90,1.48,TR,1665610846
Kununurra,-15.7667,128.7333,75.18,100,40,0.0,AU,1665610847
Aparecida do Taboado,-20.0867,-51.0936,77.74,57,92,3.02,BR,1665610847
Zhuanghe,39.7008,122.9911,53.56,78,99,1.01,CN,1665610847
Yunyang,33.4474,112.7142,53.19,54,66,3.62,CN,1665610848
Maumere,-8.6199,122.2111,79.54,78,43,7.58,ID,1665610848
Ekibastuz,51.6667,75.3667,45.64,62,92,6.87,KZ,1665610849
Inhambane,-23.865,35.3833,71.47,90,13,6.4,MZ,1665610849
Tevaitoa,-16.7833,-151.5,78.39,77,13,16.28,PF,1665610849
Anju,39.6178,125.6647,46.47,77,95,3.18,KP,1665610850
Shimoda,34.6667,138.95,58.1,90,100,19.42,JP,1665610850
Eyl,7.9803,49.8164,78.15,77,63,12.08,SO,1665610850
Dryden,49.7833,-92.7503,44.89,65,100,10.36,CA,1665610851
Northam,51.0333,-4.2167,56.61,96,100,4.41,GB,1665610851
Severnyy,50.677,36.5532,46.44,81,0,6.71,RU,1665610811
Melfi,40.9965,15.6514,57.76,81,100,1.7,IT,1665610851
Vidim,56.4088,103.1106,36.3,97,100,5.01,RU,1665610852
Yar-Sale,66.8333,70.8333,37.53,83,87,7.2,RU,1665610852
Nemuro,43.3236,145.575,54.14,65,1,4.52,JP,1665610852
Imbituba,-28.24,-48.6703,64.35,93,100,5.86,BR,1665610853
Namatanai,-3.6667,152.4333,82.69,71,90,4.65,PG,1665610853
Saskylakh,71.9167,114.0833,19.56,97,98,3.33,RU,1665610853
Pecos,31.4229,-103.4932,87.89,22,0,9.22,US,1665610854
Borazjan,29.2666,51.2159,83.14,33,0,5.66,IR,1665610854
Dosso,13.049,3.1937,85.66,27,15,6.44,NE,1665610854
Nagato,34.3833,131.2,61.5,82,0,8.95,JP,1665610855
Visby,57.6409,18.296,52.83,100,100,8.05,SE,1665610847
Seymchan,62.8833,152.4333,9.14,94,100,1.77,RU,1665610855
Buin,-33.7333,-70.75,76.87,42,33,7.9,CL,1665610581
Half Moon Bay,37.4636,-122.4286,78.87,74,100,8.05,US,1665610856
Coxim,-18.5067,-54.76,78.94,64,84,3.36,BR,1665610856
Goodlettsville,36.3231,-86.7133,78.12,70,88,12.82,US,1665610856
Beloha,-25.1667,45.05,68.92,82,0,3.27,MG,1665610569
Nālūt,30.3333,10.85,77.61,20,1,11.54,LY,1665610857
Cervo,43.6702,-7.4101,57.96,91,96,4.65,ES,1665610857
Scottsbluff,41.8666,-103.6672,54.72,43,100,20.71,US,1665610509
La Asuncion,11.0333,-63.8628,83.93,79,63,12.66,VE,1665610858
Vostok,46.4856,135.8833,34.12,69,33,4.12,RU,1665610858
Goundi,9.3627,17.366,71.2,84,7,2.73,TD,1665610858
Cairns,-16.9167,145.7667,78.06,91,100,5.75,AU,1665610859
Pierre,44.3683,-100.351,58.12,35,75,34.52,US,1665610618
Batticaloa,7.7102,81.6924,78.3,86,94,7.05,LK,1665610859
Teya,60.3778,92.6267,33.39,96,99,4.09,RU,1665610859
Harlingen,26.1906,-97.6961,91.49,69,40,13.8,US,1665610860
Nelson Bay,-32.7167,152.15,67.08,79,54,7.0,AU,1665610860
Honningsvåg,70.9821,25.9704,40.75,81,75,27.63,NO,1665610860
Alihe,50.5667,123.7167,33.6,65,2,3.15,CN,1665610861
Waipawa,-41.4122,175.5153,46.04,91,100,9.17,NZ,1665610604
Coahuayana Viejo,18.7333,-103.6833,85.78,74,99,5.08,MX,1665610861
Champerico,14.3,-91.9167,90.14,78,100,6.26,GT,1665610862
Mabaruma,8.2,-59.7833,76.37,85,100,4.0,GY,1665610862
Tierra Colorada,17.1667,-99.5833,81.16,82,95,2.86,MX,1665610862
Senador Canedo,-16.7081,-49.0931,88.93,31,20,8.05,BR,1665610723
Khilok,51.3674,110.4676,30.96,79,32,4.65,RU,1665610863
Pitimbu,-7.4706,-34.8086,79.39,77,81,15.79,BR,1665610864
Bagotville,-28.9833,153.4167,60.85,99,39,5.7,AU,1665610864
Sulangan,11.1373,123.7228,83.07,75,100,5.01,PH,1665610865
Huilong,31.8111,121.655,59.94,72,0,6.87,CN,1665610865
Beira,-19.8436,34.8389,69.89,100,0,5.75,MZ,1665610696
Pisco,-13.7,-76.2167,64.45,72,0,19.57,PE,1665610865
Epe,6.5841,3.9834,75.87,88,94,2.64,NG,1665610866
Tiarei,-17.5333,-149.3333,80.62,81,28,16.2,PF,1665610867
Daru,-9.0763,143.2092,81.36,82,87,12.68,PG,1665610867
Hofn,64.2539,-15.2082,41.36,58,11,9.75,IS,1665610868
Oruzgan,32.8333,66.0,51.26,12,0,2.75,AF,1665610868
George,-33.963,22.4617,62.15,100,75,1.14,ZA,1665610868
Pauini,-7.7136,-66.9764,85.91,53,73,0.94,BR,1665610869
Ukiah,39.1502,-123.2078,96.44,33,0,1.01,US,1665610869
La Santisima Trinidad,-14.8333,-64.9,84.18,70,40,4.61,BO,1665610870
Ulladulla,-35.35,150.4667,63.12,70,88,12.59,AU,1665610870
Lamont,35.2597,-118.9143,94.55,25,1,7.38,US,1665610870
Mahibadhoo,3.7833,72.9667,80.55,79,100,20.56,MV,1665610871
Makakilo City,21.3469,-158.0858,85.44,64,20,6.91,US,1665610871
Plouzané,48.3833,-4.6167,57.38,88,0,10.36,FR,1665610871
Dali,25.7,100.1833,59.81,93,89,1.86,CN,1665610872
Camargo,27.6667,-105.1667,82.18,28,3,1.61,MX,1665610872
Ippy,6.2679,21.2247,69.26,92,59,2.46,CF,1665610873
Ontario,34.0633,-117.6509,84.36,52,40,10.36,US,1665610873
Erdenet,49.0333,104.0833,31.12,66,8,5.59,MN,1665610874
Amahai,-3.3333,128.9167,78.6,84,91,1.66,ID,1665610874
Port Lincoln,-34.7333,135.8667,55.44,72,35,14.14,AU,1665610874
Réo,12.3167,-2.4667,83.57,44,31,5.84,BF,1665610875
Tessalit,20.1986,1.0114,86.49,12,0,9.17,ML,1665610875
Aloleng,16.1307,119.7824,79.56,82,100,5.93,PH,1665610875
Sennar,13.5691,33.5672,84.9,48,10,7.56,SD,1665610876
Hastings,50.8552,0.5729,60.3,85,100,13.27,GB,1665610711
Yerbogachën,61.2767,108.0108,32.79,96,100,7.94,RU,1665610876
Narrabri,-30.3167,149.7833,68.52,53,4,5.01,AU,1665610877
Kayanga,-1.5303,31.1511,58.28,86,54,1.83,TZ,1665610877
Malaya Serdoba,52.4661,44.9512,46.85,91,100,10.54,RU,1665610877
Shambu,9.5667,37.1,50.76,89,78,2.8,ET,1665610878
Ibrā’,22.6906,58.5334,71.33,47,9,0.54,OM,1665610878
